EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
883016,PUTNAM CO.,ENSOR,20-Mar,148,Tornado, ,19,0,19,0,87,87,100000000,0,100000000,TN,CST-6,146901,C,141,OHX,NWS Storm Survey,8.39,900,1,W,1,W,36.1715,-85.6628,36.1709,-85.5135,2020
889259,MURRAY CO.,TREADWELL,20-Apr,2045,Tornado, ,8,0,8,0,24,24,500000,0,500000,GA,EST-5,147540,C,213,FFC,NWS Storm Survey,8.88,860,3,NE,2,SSE,34.8098,-84.8377,34.9251,-84.7686,2020
837602,LAS VEGAS VALLEY (ZONE), ,19-Jul,0,Heat, ,6,2,8,0,0,0,0,0,0,NV,PST-8,139252,Z,20,VEF,County Official, , , , , , , , , , ,2020
872994,FRANKLIN CO.,LAUREL,20-Mar,400,Flash Flood, ,6,0,6,0,0,0,100000,0,100000,IN,EST-5,145330,C,47,ILN,Broadcast Media, , ,2,W,2,W,39.5001,-85.22,39.5001,-85.2196,2020
889068,HAMPTON CO.,ESTILL MUNI ARPT,20-Apr,510,Tornado, ,5,0,5,0,65,65,0,0,0,SC,EST-5,147485,C,49,CHS,NWS Storm Survey,23.73,1300,3,WSW,5,NE,32.7045,-81.2899,32.829,-80.9092,2020
879418,BATH CO.,MOORES FERRY,20-Apr,1520,Flood, ,5,0,5,0,0,0,3000,0,3000,KY,EST-5,146361,C,11,JKL,Emergency Manager, , ,2,W,2,W,38.1645,-83.6587,38.1646,-83.6583,2020
883007,WILSON CO.,MT JULIET,20-Mar,54,Tornado, ,3,0,3,0,50,50,409000000,0,409000000,TN,CST-6,146901,C,189,OHX,NWS Storm Survey,26.65,1600,3,WSW,3,N,36.1767,-86.5717,36.192,-86.0981,2018
889030,POLK CO.,ONALASKA,21-Mar,1635,Tornado, ,3,0,3,3,33,36,5000000,0,5000000,TX,CST-6,146220,C,373,HGX,NWS Storm Survey,28.51,1100,3,WNW,2,E,30.8409,-95.1824,30.881,-94.704,2020
871629,PICKENS CO.,UNION CHAPEL,22-Mar,1111,Tornado, ,3,0,3,0,7,7,0,0,0,AL,CST-6,145154,C,107,BMX,NWS Storm Survey,6.33,1056,3,NNW,4,NNW,33.2379,-88.1545,33.3253,-88.1223,2020
873666,SAMPSON CO.,TAYLORS BRIDGE,23-Mar,1338,Thunderstorm Wind,74,3,0,3,0,3,3,250000,0,250000,NC,EST-5,145493,C,163,RAH,Emergency Manager, , ,3,NW,2,NW,34.8553,-78.2842,34.8563,-78.2799,2020
863301,BOLLINGER CO.,SEDGEWICKVILLE,24-Mar,1300,Flash Flood, ,3,0,3,0,2,2,50000,0,50000,MO,CST-6,143778,C,17,PAH,Emergency Manager, , ,5,SSW,0,N,37.4531,-89.9549,37.52,-89.92,2020
870754,CENTRAL PANHANDLE MOUNTAINS (ZONE), ,25-Mar,1130,Avalanche, ,3,0,3,0,2,2,0,0,0,ID,PST-8,145006,Z,4,OTX,Broadcast Media, , , , , , , , , , ,2018
875155,TOHONO O ODHAM NATION (ZONE), ,26-Mar,1000,Excessive Heat, ,3,0,3,0,0,0,0,0,0,AZ,MST-7,145703,Z,502,TWC,County Official, , , , , , , , , , ,2020
856471,JEFFERSON CO.,HAMSHIRE,27-Mar,2131,Flash Flood, ,3,0,3,0,0,0,300000000,0,300000000,TX,CST-6,142104,C,245,LCH,NWS Storm Survey, , ,5,WSW,1,NE,29.8256,-94.3789,29.7602,-93.9347,2020
860239,SANTA CLARA VALLEY INCLUDING SAN JOSE (ZONE), ,28-Mar,300,Cold/Wind Chill, ,3,0,3,0,0,0,0,0,0,CA,PST-8,143385,Z,513,MTR,County Official, , , , , , , , , , ,2020
860312,GILA CO.,PUNKIN CENTER,29-Mar,850,Flood, ,3,0,3,0,0,0,50000,0,50000,AZ,MST-7,143398,C,7,PSR,Law Enforcement, , ,5,SSE,4,SSE,33.812,-111.2775,33.817,-111.2888,2017
866960,BOSSIER PAR.,SLIGO,30-Mar,124,Tornado, ,3,0,3,0,0,0,500000,0,500000,LA,CST-6,144388,C,15,SHV,NWS Storm Survey,8.84,300,1,NW,4,ESE,32.4571,-93.5875,32.5039,-93.4463,2019
903730,COASTAL HORRY (ZONE), ,31-Mar,1300,Rip Current, ,3,0,3,0,0,0,0,0,0,SC,EST-5,149920,Z,54,ILM,Lifeguard, , , , , , , , , , ,2020
882999,DAVIDSON CO.,SCOTTSBORO,1-Apr,32,Tornado, ,2,0,2,0,170,170,1090000000,0,1090000000,TN,CST-6,146901,C,37,OHX,NWS Storm Survey,21.49,1150,4,SSW,2,E,36.1717,-86.9562,36.1767,-86.5717,2020
